dishname,price,shopid
德式香肠蕃茄汁意面,20,401
意大利肉酱芝士焗饭,17,401
成都冒肥牛,16,404
手抓饼,3.5,101
手抓鸡蛋饼,4,201
手撕包菜,9,108
手撕包菜,4.95,301
手撕包菜,3,601
手撕鸡,12,608
手撕鸡火锅米线,15,605
打卤肉酱面,16.5,302
扬州炒饭/面/粉,9,207
扬州炒饭（面/粉）,9,109
把子肉,7.7,102
拉丝芝士棒,6,606
拌鸡丝,6.6,102
招牌手工热米皮,11,107
招牌炸酱面,10,403
招牌烤鸭饭,13.9,404
招牌牛丼饭,18.7,307
招牌牛肉,19.8,310
招牌纯牛肉堡,16,407
招牌肉丝炒米皮,15,107
招牌肉酱拌面/粉,12,604
招牌肥牛火锅米线,18,605
招牌茶泡饭,14,607
招牌鸡捞面/米线,16.5,302
掌中宝串（8串）,9.8,606
排骨锅仔+米饭,18.7,304
擂椒烧肉饭,19.8,307
擂椒牛丼饭,19.8,307
新疆大盘鸡,3,501
日式烧肉饭,19.8,307
时蔬牛肉堡,18,602
有机花菜,4.95,301
木耳山药,3,501
木耳西兰花,3,501
杂酱面/粉,12,203
杂酱面（刀削面）,10,103
杏鲍菇炒肉,14,202
杏鲍菇炸套餐,21.9,407
杏鲍菇（150g）,9.9,407
板烧凤梨堡,17,602
柠檬水,3,606
柠檬青花椒鱼,19,402
梅干菜烤肉饼,3.5,201
梅干菜牛肉饼,7,106
梅干菜瘦肉饼,7,106
梅干菜肉松饼,7,106
梅干菜肥肉饼,5,106
梅菜扣肉面/粉,15,204
梅菜扣肉饭,16.72,304
椒盐排条,15,202
椒盐葱饼,4,106
椒香麻辣鱼,16,402
椒麻腐竹饭,11,110
椒麻香肉饭,13,110
椒麻鸡丝拌面/粉,14,604
椒麻鸡丝汤面/粉,14,604
椒麻鸡肉饭,16,110
椒麻鸡腿,11,404
椒麻鸡腿饭,15,404
椒麻鸡茶泡饭,14,607
椒麻鸡面/粉,14,203
椒麻鸡饭,16,110
正宗成都冒烤鸭,16,404
正宗柳州螺蛳粉,12,604
正新烤肠（2串）,12,606
正新鸡排,13,606
正新鸡排+气泡水,15,606
